file,tempo_bpm,zcr_mean,rms_mean,centroid_mean,rolloff_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean
IPFI1_PianoSolo_128_Am_Synth-128BPM-A minor-BANDLAB.wav,129.19921875,0.09800559761597938,0.053795084,1190.1443337166254,1604.9340065238403,-470.40225,76.3231,-48.66311,-55.832043,-26.654055,-10.047022,-13.610359,-14.794715,-13.202641,-11.6470585,-0.8752839,15.579721,14.062798,0.29202357,0.072995804,0.1505217,0.064822696,0.29084736,0.2914397,0.072533645,0.20129348,0.03640245,0.0007260874,0.005403294,0.072835155
IPFI1_PitchedLead_105_Bb_Synth-105BPM-B♭ major-BANDLAB.wav,103.359375,0.10764866552982233,0.10333999,2212.1523536620884,3840.4385794237787,-318.27014,11.900433,-98.141785,-58.821354,-43.59655,4.048352,19.00645,17.071867,-4.347308,-7.5797615,-6.78455,-3.5768497,-8.697596,0.14573602,0.09788,0.27770835,0.06651709,0.061992932,0.27159005,0.05531683,0.005589628,0.03414578,0.22098792,0.27818266,0.08823776
IPFI1_PitchedSolo_105_Bb_Synth-105BPM-B♭ major-BANDLAB.wav,103.359375,0.08439024329790609,0.10552413,1859.744051419666,3452.5130063749207,-240.70186,73.460365,-62.34841,-19.236809,-29.472874,-15.09521,-16.519844,-10.381465,-20.786156,-12.954451,-15.235711,-8.170422,-13.00632,0.19966292,0.11760983,0.25772175,0.265786,0.12783231,0.21436784,0.109227836,0.2010597,0.10762364,0.24008502,0.25443724,0.11572359
IPFI1_Plucked_145_Bbm_Bass-145BPM-B♭ minor-BANDLAB.wav,143.5546875,0.005908886035839161,0.20018049,258.02657334820367,455.5100661057692,-355.5837,159.46654,41.386063,32.40304,28.709455,23.007587,16.981918,10.09376,9.658713,10.038911,11.188874,12.2827635,9.373909,0.54089683,0.489291,0.4505375,0.48061568,0.5415097,0.60183275,0.6219238,0.6957798,0.8114563,0.86023486,0.74185115,0.6126588
IPFI1_Plucks_105_Bb_Synth-105BPM-B♭ major-BANDLAB.wav,103.359375,0.03547412852950508,0.06497504,676.829443550096,1144.047058415292,-294.96997,214.96133,-10.803729,9.845704,9.11062,-5.9399,-4.4733596,-9.175513,-9.340763,-6.914499,-6.0529995,-7.379727,-8.015074,0.5140339,0.27237394,0.1978671,0.17355631,0.17294092,0.4391696,0.2540372,0.34543195,0.18600975,0.25138715,0.6045646,0.3896422
IPFI1_Row_124_Bbm_Bass-124BPM-B♭ minor-BANDLAB.wav,123.046875,0.00862678938997006,0.16458951,119.55244388812555,145.54253309786677,-442.8893,146.2389,96.89006,56.629234,38.97657,33.343403,27.36103,19.054869,12.26639,9.110125,8.190981,7.4904456,6.6750546,0.33979744,0.26194543,0.19612478,0.16683792,0.28700125,0.44142693,0.4798462,0.54693085,0.5915052,0.6515426,0.5304903,0.41922408
IPFI1_Sad_89_Eb_Keys_01-89BPM-E♭ major-BANDLAB.wav,89.10290948275862,0.030386319724462367,0.04281913,436.0449430146348,591.1211567540323,-455.4582,171.03464,77.78599,22.164978,-6.132601,-15.700057,-10.810471,-4.569089,-6.533265,-15.372423,-20.298563,-18.169085,-15.127425,0.057517137,0.08841716,0.42325437,0.65540594,0.18479936,0.09602513,0.14379086,0.4040421,0.1377937,0.13938987,0.30216417,0.199966
IPFI1_Sad_89_Eb_Keys_02-89BPM-E♭ major-BANDLAB.wav,89.10290948275862,0.032384597614247314,0.047127515,459.3113493102408,633.9097152217741,-437.79193,174.35602,70.48302,14.71911,-8.883977,-17.142483,-12.431362,-5.1480975,-5.18687,-13.251177,-19.565308,-19.610033,-17.814419,0.052287858,0.076110676,0.35120863,0.5361041,0.17349942,0.19596568,0.18152459,0.4653452,0.20404771,0.12721866,0.23228942,0.17155483
IPFI1_Sad_89_Eb_Keys_03-89BPM-E♭ major-BANDLAB.wav,89.10290948275862,0.038837260584677416,0.054384664,552.4882790495877,740.4874936995968,-387.31607,188.3723,55.233074,9.59182,-10.406853,-22.961958,-17.84948,-6.9875674,-3.6101582,-10.569314,-16.353102,-12.747642,-7.273152,0.06817774,0.09702193,0.4014307,0.38306096,0.14767735,0.26560068,0.20971762,0.43079782,0.1886786,0.13145612,0.3728275,0.18087476
IPFI1_Sad_89_Eb_Keys_04-89BPM-E♭ major-BANDLAB.wav,89.10290948275862,0.03460286458333333,0.06405813,469.8205551388582,611.982894405242,-410.7631,181.72217,70.01119,13.266296,-8.318907,-17.843952,-16.025986,-8.659543,-7.8468065,-15.196249,-20.049852,-18.580505,-15.274987,0.052097555,0.060289536,0.20395517,0.24602517,0.17219386,0.46076974,0.26339862,0.4477472,0.20947908,0.089663625,0.18439133,0.13328916
